,age,male,educ,hhsize,hhveh,hhinc,auto_time,auto_cost,train_time,train_cost,active_time,mode
2666,14,0,1,3,2,10,3.466666666666667,6.572333333333334,17.25,2.4833333333333334,11.308333333333334,0
2667,14,0,1,3,2,10,8.15,5.019,33.416666666666664,2.075,22.291666666666664,2
2668,14,0,1,3,2,10,6.483333333333333,5.705666666666667,24.966666666666665,2.566666666666667,16.491666666666667,0
2669,14,0,1,3,2,10,4.233333333333333,6.572333333333334,16.833333333333332,2.4833333333333334,10.808333333333334,2
2670,14,0,1,3,2,10,7.933333333333334,4.935666666666667,31.716666666666665,2.183333333333333,21.125,0
2671,14,0,1,3,2,10,3.466666666666667,6.572333333333334,17.25,2.4833333333333334,11.308333333333334,2
2672,43,0,5,4,2,9,10.583333333333334,6.528666666666667,45.38333333333333,2.8333333333333335,47.93333333333333,0
2673,43,0,5,4,2,9,6.0,4.994000000000001,30.416666666666668,2.2583333333333333,19.258333333333333,0
2674,43,0,5,4,2,9,9.283333333333333,7.005666666666667,58.2,2.533333333333333,41.725,0
2675,43,0,5,4,2,9,20.066666666666666,12.912999999999998,124.63333333333334,3.1333333333333333,112.36666666666667,0
2676,43,0,5,4,2,9,5.433333333333334,5.269000000000001,38.46666666666667,2.058333333333333,24.458333333333336,0
2677,43,0,5,4,2,9,6.666666666666667,5.019,33.05,2.1166666666666667,21.066666666666666,0
2678,43,0,5,4,2,9,5.816666666666666,5.185666666666667,34.666666666666664,2.091666666666667,22.216666666666665,0
2679,43,0,5,4,2,9,13.666666666666666,9.049999999999999,36.88333333333333,2.325,58.68333333333333,0
2680,43,0,5,4,2,9,8.216666666666667,5.012333333333333,42.766666666666666,1.9666666666666666,27.40833333333333,0
2681,43,0,5,4,2,9,12.866666666666667,14.154666666666667,185.03333333333333,3.1083333333333334,112.00833333333334,0
2682,43,0,5,4,2,9,38.93333333333333,16.855999999999998,96.88333333333334,3.5716666666666668,376.14166666666665,1
2683,43,0,5,4,2,9,6.466666666666667,6.572333333333333,15.0,2.408333333333333,12.391666666666667,0
2684,43,0,5,4,2,9,7.5,6.622333333333333,11.666666666666666,2.408333333333333,12.716666666666667,2
